date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2022-01-04 19:00:00-05:00,Knicks vs Indiana (Home),Sports,Knicks,Home,2022,1,4,1,Tuesday,False,19
2022-01-06 19:00:00-05:00,Knicks vs Boston (Home),Sports,Knicks,Home,2022,1,6,3,Thursday,False,19
2022-01-08 19:00:00-05:00,Knicks vs Boston (Away),Sports,Knicks,Away,2022,1,8,5,Saturday,True,19
2022-01-10 19:00:00-05:00,Knicks vs San Antonio (Home),Sports,Knicks,Home,2022,1,10,0,Monday,False,19
2022-01-12 19:00:00-05:00,Knicks vs Dallas (Home),Sports,Knicks,Home,2022,1,12,2,Wednesday,False,19
2022-01-15 19:00:00-05:00,Knicks vs Atlanta (Away),Sports,Knicks,Away,2022,1,15,5,Saturday,True,19
2022-01-17 19:00:00-05:00,Knicks vs Charlotte (Home),Sports,Knicks,Home,2022,1,17,0,Monday,False,19
2022-01-17 00:00:00-05:00,Martin Luther King Jr. Day,Holiday,,,2022,1,17,0,Monday,False,0
2022-01-18 19:00:00-05:00,Knicks vs Minnesota (Home),Sports,Knicks,Home,2022,1,18,1,Tuesday,False,19
2022-01-20 19:00:00-05:00,Knicks vs New Orleans (Home),Sports,Knicks,Home,2022,1,20,3,Thursday,False,19
2022-01-23 19:00:00-05:00,Knicks vs LA (Home),Sports,Knicks,Home,2022,1,23,6,Sunday,True,19
2022-01-24 19:00:00-05:00,Knicks vs Cleveland (Away),Sports,Knicks,Away,2022,1,24,0,Monday,False,19
2022-01-26 19:00:00-05:00,Knicks vs Miami (Away),Sports,Knicks,Away,2022,1,26,2,Wednesday,False,19
2022-01-28 19:00:00-05:00,Knicks vs Milwaukee (Away),Sports,Knicks,Away,2022,1,28,4,Friday,False,19
2022-01-31 19:00:00-05:00,Knicks vs Sacramento (Home),Sports,Knicks,Home,2022,1,31,0,Monday,False,19
2022-02-01 19:00:00-05:00,"Jets vs Sun, Sep 18 (Home)",Sports,Jets,Home,2022,2,1,1,Tuesday,False,19
2022-02-01 19:00:00-05:00,"Giants vs Sun, Aug 21 (Home)",Sports,Giants,Home,2022,2,1,1,Tuesday,False,19
2022-02-01 19:00:00-05:00,"Jets vs Mon, Aug 22 (Home)",Sports,Jets,Home,2022,2,1,1,Tuesday,False,19
2022-02-01 19:00:00-05:00,"Giants vs Sun, Sep 18 (Home)",Sports,Giants,Home,2022,2,1,1,Tuesday,False,19
2022-02-02 19:00:00-05:00,Knicks vs Memphis (Home),Sports,Knicks,Home,2022,2,2,2,Wednesday,False,19
2022-02-05 19:00:00-05:00,Knicks vs Los Angeles (Away),Sports,Knicks,Away,2022,2,5,5,Saturday,True,19
2022-02-07 19:00:00-05:00,Knicks vs Utah (Away),Sports,Knicks,Away,2022,2,7,0,Monday,False,19
2022-02-08 19:00:00-05:00,Knicks vs Denver (Away),Sports,Knicks,Away,2022,2,8,1,Tuesday,False,19
2022-02-10 19:00:00-05:00,Knicks vs Golden State (Away),Sports,Knicks,Away,2022,2,10,3,Thursday,False,19
2022-02-12 19:00:00-05:00,Knicks vs Portland (Away),Sports,Knicks,Away,2022,2,12,5,Saturday,True,19
2022-02-14 19:00:00-05:00,Knicks vs Oklahoma City (Home),Sports,Knicks,Home,2022,2,14,0,Monday,False,19
2022-02-16 19:00:00-05:00,Knicks vs Brooklyn (Home),Sports,Knicks,Home,2022,2,16,2,Wednesday,False,19
2022-02-21 00:00:00-05:00,Washington's Birthday,Holiday,,,2022,2,21,0,Monday,False,0
2022-02-25 19:00:00-05:00,Knicks vs Miami (Home),Sports,Knicks,Home,2022,2,25,4,Friday,False,19
2022-02-27 19:00:00-05:00,Knicks vs Philadelphia (Home),Sports,Knicks,Home,2022,2,27,6,Sunday,True,19
2022-03-01 19:00:00-05:00,"Giants vs Sun, Aug 28 (Home)",Sports,Giants,Home,2022,3,1,1,Tuesday,False,19
2022-03-01 19:00:00-05:00,"Jets vs Sun, Aug 28 (Home)",Sports,Jets,Home,2022,3,1,1,Tuesday,False,19
2022-03-01 19:00:00-05:00,"Jets vs Sun, Sep 25 (Home)",Sports,Jets,Home,2022,3,1,1,Tuesday,False,19
2022-03-01 19:00:00-05:00,"Giants vs Mon, Sep 26 (Home)",Sports,Giants,Home,2022,3,1,1,Tuesday,False,19
2022-03-02 19:00:00-05:00,Knicks vs Philadelphia (Away),Sports,Knicks,Away,2022,3,2,2,Wednesday,False,19
2022-03-04 19:00:00-05:00,Knicks vs Phoenix (Away),Sports,Knicks,Away,2022,3,4,4,Friday,False,19
2022-03-06 19:00:00-05:00,Knicks vs LA (Away),Sports,Knicks,Away,2022,3,6,6,Sunday,True,19
2022-03-07 19:00:00-05:00,Knicks vs Sacramento (Away),Sports,Knicks,Away,2022,3,7,0,Monday,False,19
2022-03-09 19:00:00-05:00,Knicks vs Dallas (Away),Sports,Knicks,Away,2022,3,9,2,Wednesday,False,19
2022-03-11 19:00:00-05:00,Knicks vs Memphis (Away),Sports,Knicks,Away,2022,3,11,4,Friday,False,19
2022-03-13 20:00:00-04:00,Knicks vs Brooklyn (Away),Sports,Knicks,Away,2022,3,13,6,Sunday,True,20
2022-03-16 19:00:00-04:00,Knicks vs Portland (Home),Sports,Knicks,Home,2022,3,16,2,Wednesday,False,19
2022-03-18 19:00:00-04:00,Knicks vs Washington (Home),Sports,Knicks,Home,2022,3,18,4,Friday,False,19
2022-03-20 19:00:00-04:00,Knicks vs Utah (Home),Sports,Knicks,Home,2022,3,20,6,Sunday,True,19
2022-03-22 19:00:00-04:00,Knicks vs Atlanta (Home),Sports,Knicks,Home,2022,3,22,1,Tuesday,False,19
2022-03-23 19:00:00-04:00,Knicks vs Charlotte (Away),Sports,Knicks,Away,2022,3,23,2,Wednesday,False,19
2022-03-25 19:00:00-04:00,Knicks vs Miami (Away),Sports,Knicks,Away,2022,3,25,4,Friday,False,19
2022-03-27 19:00:00-04:00,Knicks vs Detroit (Away),Sports,Knicks,Away,2022,3,27,6,Sunday,True,19
2022-03-28 19:00:00-04:00,Knicks vs Chicago (Home),Sports,Knicks,Home,2022,3,28,0,Monday,False,19
2022-03-30 19:00:00-04:00,Knicks vs Charlotte (Home),Sports,Knicks,Home,2022,3,30,2,Wednesday,False,19
2022-04-01 19:00:00-04:00,"Giants vs Sun, Oct 2 (Home)",Sports,Giants,Home,2022,4,1,4,Friday,False,19
2022-04-01 19:00:00-04:00,"Jets vs Sun, Oct 2 (Home)",Sports,Jets,Home,2022,4,1,4,Friday,False,19
2022-04-02 19:00:00-04:00,Knicks vs Cleveland (Home),Sports,Knicks,Home,2022,4,2,5,Saturday,True,19
2022-04-03 19:00:00-04:00,Knicks vs Orlando (Away),Sports,Knicks,Away,2022,4,3,6,Sunday,True,19
2022-04-06 19:00:00-04:00,Knicks vs Brooklyn (Home),Sports,Knicks,Home,2022,4,6,2,Wednesday,False,19
2022-04-07 13:05:00-04:00,Yankees vs Boston Red Sox (Home),Sports,Yankees,Home,2022,4,7,3,Thursday,False,13
2022-04-07 19:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2022,4,7,3,Thursday,False,19
2022-04-08 19:00:00-04:00,Knicks vs Washington (Away),Sports,Knicks,Away,2022,4,8,4,Friday,False,19
2022-04-08 13:05:00-04:00,Yankees vs Boston Red Sox (Home),Sports,Yankees,Home,2022,4,8,4,Friday,False,13
2022-04-08 19:05:00-04:00,Mets vs Washington Nationals (Away),Sports,Mets,Away,2022,4,8,4,Friday,False,19
